Precinct,New Full Precinct Number,Voter Count,US Congressional District,Colorado Senate District,Colorado House District,,,,,,
101,6260303101,"1,503",6,26,3,,,,,,
102,6260303102,"1,326",6,26,3,,Precincts in RED have had physical geographic changes,,,,
103,6260303103,795,6,26,3,,,,,,
104,6260303104,813,6,26,3,,,,,,
105,6260303105,"1,751",6,26,3,,,,,,
106,6260303106,623,6,26,3,,,,,,
107,6260303107,944,6,26,3,,,,,,
108,6260303108,713,6,26,3,,,,,,
109,6260303109,687,6,26,3,,,,,,
110,6260303110,530,6,26,3,,,,,,
111,6260303111,"1,362",6,26,3,,,,,,
112,6260303112,935,6,26,3,,,,,,
113,6260303113,721,6,26,3,,,,,,
114,6260303114,973,6,26,3,,,,,,
115,6260303115,"1,181",6,26,3,,,,,,
116,6260303116,"1,349",6,26,3,,,,,,
117,6260303117,"1,413",6,26,3,,,,,,
118,6260303118,907,6,26,3,,,,,,
119,6260303119,901,6,26,3,,,,,,
120,6260303120,793,6,26,3,,,,,,
121,6260303121,624,6,26,3,,,,,,
122,6260303122,838,6,26,3,,,,,,
123,6260303123,"1,040",6,26,3,,,,,,
124,6260303124,"1,195",6,26,3,,,,,,
125,6260303125,677,6,26,3,,,,,,
126,6163803126,879,6,16,38,,,,,,
127,6163803127,139,6,16,38,,,,,,
128,6260303128,403,6,26,3,,,,,,
129,6260303129,672,6,26,3,,,,,,
130,6260303130,"1,053",6,26,3,,,,,,
131,6260303131,"1,051",6,26,3,,,,,,
132,6260303132,"1,108",6,26,3,,,,,,
133,6260303133,"1,022",6,26,3,,,,,,
134,6260303134,584,6,26,3,,,,,,
135,6260303135,388,6,26,3,,,,,,
136,6260303136,898,6,26,3,,,,,,
137,1320903137,904,1,32,9,,,,,,
138,1320903138,443,1,32,9,,,,,,
139,1320903139,720,1,32,9,,,,,,
140,6260303140,487,6,26,3,,,,,,
141,6163803141,489,6,16,38,,,,,,
142,6163803142,951,6,16,38,,,,,,
143,6163803143,828,6,16,38,,,,,,
144,6163803144,827,6,16,38,,,,,,
145,6163803145,729,6,16,38,,,,,,
146,6163803146,849,6,16,38,,,,,,
147,6163803147,917,6,16,38,,,,,,
148,6163803148,607,6,16,38,,,,,,
149,6163803149,"1,297",6,16,38,,,,,,
150,6163803150,"1,327",6,16,38,,,,,,
151,6163803151,"1,048",6,16,38,,,,,,
152,6163803152,862,6,16,38,,,,,,
153,6163803153,"1,503",6,16,38,,,,,,
154,6163803154,"1,210",6,16,38,,,,,,
155,6163803155,"1,255",6,16,38,,,,,,
156,6163803156,498,6,16,38,,,,,,
157,6163803157,741,6,16,38,,,,,,
158,6163803158,915,6,16,38,,,,,,
159,6163803159,792,6,16,38,,,,,,
160,6163803160,917,6,16,38,,,,,,
161,6163803161,809,6,16,38,,,,,,
162,6163803162,898,6,16,38,,,,,,
163,6163803163,835,6,16,38,,,,,,
164,6163803164,822,6,16,38,,,,,,
165,6163803165,"1,050",6,16,38,,,,,,
166,6163803166,458,6,16,38,,,,,,
167,6163803167,947,6,16,38,,,,,,
168,6163803168,962,6,16,38,,,,,,
169,6163803169,"1,061",6,16,38,,,,,,
170,6163803170,"1,384",6,16,38,,,,,,
171,6163803171,"1,494",6,16,38,,,,,,
172,6163803172,837,6,16,38,,,,,,
173,6163803173,"1,378",6,16,38,,,,,,
174,6163803174,723,6,16,38,,,,,,
175,6163803175,"1,001",6,16,38,,,,,,
176,6163803176,"1,377",6,16,38,,,,,,
177,6163803177,994,6,16,38,,,,,,
178,6163803178,884,6,16,38,,,,,,
179,6163803179,718,6,16,38,,,,,,
180,6163803180,805,6,16,38,,,,,,
181,6163803181,731,6,16,38,,,,,,
182,6163803182,980,6,16,38,,,,,,
183,6163803183,"1,370",6,16,38,,,,,,
184,6163803184,731,6,16,38,,,,,,
185,6163803185,953,6,16,38,,,,,,
186,6163803186,960,6,16,38,,,,,,
187,6163803187,949,6,16,38,,,,,,
188,6163803188,656,6,16,38,,,,,,
189,6163803189,"1,137",6,16,38,,,,,,
190,6163803190,"1,293",6,16,38,,,,,,
191,6163803191,888,6,16,38,,,,,,
192,6163803192,"1,077",6,16,38,,,,,,
193,6163803193,883,6,16,38,,,,,,
194,6163803194,"1,190",6,16,38,,,,,,
195,6163803195,"1,036",6,16,38,,,,,,
196,6163803196,640,6,16,38,,,,,,
197,6163803197,743,6,16,38,,,,,,
198,6263703198,62,6,26,37,,,,,,
199,6163703199,222,6,16,37,,,,,,
201,6263703201,386,6,26,37,,,,,,
202,6263703202,373,6,26,37,,,,,,
203,6263703203,764,6,26,37,,,,,,
204,6263703204,"1,677",6,26,37,,,,,,
205,6163803205,710,6,16,38,,,,,,
206,6163803206,763,6,16,38,,,,,,
207,6163803207,"1,176",6,16,38,,,,,,
208,6163703208,"1,193",6,16,37,,,,,,
209,6163703209,991,6,16,37,,,,,,
210,6163703210,"1,546",6,16,37,,,,,,
211,6163703211,938,6,16,37,,,,,,
212,6163703212,"1,284",6,16,37,,,,,,
213,6163703213,"1,052",6,16,37,,,,,,
214,6163703214,876,6,16,37,,,,,,
215,6163703215,699,6,16,37,,,,,,
216,6163703216,946,6,16,37,,,,,,
217,6163703217,857,6,16,37,,,,,,
218,6163703218,964,6,16,37,,,,,,
219,6163703219,"1,166",6,16,37,,,,,,
220,6163703220,910,6,16,37,,,,,,
221,6163703221,822,6,16,37,,,,,,
222,6163703222,909,6,16,37,,,,,,
223,6163703223,"1,060",6,16,37,,,,,,
224,6163703224,870,6,16,37,,,,,,
225,6163703225,973,6,16,37,,,,,,
226,6163703226,708,6,16,37,,,,,,
227,6163703227,680,6,16,37,,,,,,
228,6163703228,870,6,16,37,,,,,,
229,6263703229,"1,239",6,26,37,,,,,,
230,6260303230,0,6,26,3,,,,,,
231,6263703231,"1,277",6,26,37,,,,,,
232,6263703232,"1,629",6,26,37,,,,,,
233,6273703233,962,6,27,37,,,,,,
234,6263703234,"1,374",6,26,37,,,,,,
235,6273703235,733,6,27,37,,,,,,
236,6273703236,689,6,27,37,,,,,,
237,6273703237,"1,208",6,27,37,,,,,,
238,6273703238,885,6,27,37,,,,,,
239,6273703239,863,6,27,37,,,,,,
240,6273703240,"1,681",6,27,37,,,,,,
241,6273703241,"1,055",6,27,37,,,,,,
242,6273703242,759,6,27,37,,,,,,
243,6273703243,"1,472",6,27,37,,,,,,
244,6273703244,"1,395",6,27,37,,,,,,
245,6263703245,494,6,26,37,,,,,,
246,6263703246,"1,137",6,26,37,,,,,,
247,6263703247,"1,671",6,26,37,,,,,,
248,6263703248,660,6,26,37,,,,,,
249,6263703249,849,6,26,37,,,,,,
250,6263703250,"1,012",6,26,37,,,,,,
251,6263703251,"1,555",6,26,37,,,,,,
252,6263703252,"1,430",6,26,37,,,,,,
253,6263703253,"1,651",6,26,37,,,,,,
254,6263703254,444,6,26,37,,,,,,
255,6274003255,"1,072",6,27,40,,,,,,
256,6273703256,522,6,27,37,,,,,,
257,6276103257,"1,321",6,27,61,,,,,,
258,6270303258,"1,072",6,27,3,,,,,,
259,6273703259,"1,827",6,27,37,,,,,,
260,6273703260,"1,959",6,27,37,,,,,,
261,6276103261,"1,572",6,27,61,,,,,,
262,6276103262,"1,338",6,27,61,,,,,,
263,6276103263,"1,074",6,27,61,,,,,,
264,6276103264,"1,252",6,27,61,,,,,,
265,6294003265,"1,082",6,29,40,,,,,,
266,6294003266,"1,151",6,29,40,,,,,,
267,6294003267,"1,118",6,29,40,,,,,,
268,6274003268,881,6,27,40,,,,,,
269,6274003269,"1,095",6,27,40,,,,,,
270,6274003270,981,6,27,40,,,,,,
271,6274003271,798,6,27,40,,,,,,
272,6274003272,890,6,27,40,,,,,,
273,6274003273,906,6,27,40,,,,,,
274,6276103274,"1,236",6,27,61,,,,,,
275,6276103275,663,6,27,61,,,,,,
276,6276103276,324,6,27,61,,,,,,
277,6276103277,886,6,27,61,,,,,,
278,6276103278,525,6,27,61,,,,,,
279,6276103279,951,6,27,61,,,,,,
280,6276103280,"1,215",6,27,61,,,,,,
281,6276103281,"1,217",6,27,61,,,,,,
282,6276103282,"1,563",6,27,61,,,,,,
283,6276103283,969,6,27,61,,,,,,
284,6273703284,785,6,27,37,,,,,,
285,6276103285,793,6,27,61,,,,,,
286,6273703286,"1,932",6,27,37,,,,,,
287,6273703287,214,6,27,37,,,,,,
301,6294103301,686,6,29,41,,,,,,
302,6294003302,"1,809",6,29,40,,,,,,
303,6294003303,936,6,29,40,,,,,,
304,6294003304,933,6,29,40,,,,,,
305,6294003305,"1,341",6,29,40,,,,,,
306,6294003306,847,6,29,40,,,,,,
307,6294003307,763,6,29,40,,,,,,
308,6294003308,"1,246",6,29,40,,,,,,
309,6294003309,"1,333",6,29,40,,,,,,
310,6284003310,"1,022",6,28,40,,,,,,
311,6283603311,"1,218",6,28,36,,,,,,
312,6284003312,"1,775",6,28,40,,,,,,
313,6284003313,"1,116",6,28,40,,,,,,
314,6284003314,876,6,28,40,,,,,,
315,6284003315,"1,601",6,28,40,,,,,,
316,6294003316,816,6,29,40,,,,,,
317,6294003317,"1,069",6,29,40,,,,,,
318,4284003318,957,4,28,40,,,,,,
319,6294003319,"1,863",6,29,40,,,,,,
320,6276103320,"1,791",6,27,61,,,,,,
321,6276103321,"1,365",6,27,61,,,,,,
322,6276103322,"1,175",6,27,61,,,,,,
323,6273703323,43,6,27,37,,,,,,
324,6273703324,589,6,27,37,,,,,,
325,6273703325,"1,492",6,27,37,,,,,,
326,6276103326,"1,395",6,27,61,,,,,,
327,6276103327,"1,245",6,27,61,,,,,,
328,6273703328,301,6,27,37,,,,,,
329,6276103329,"1,384",6,27,61,,,,,,
330,6276103330,"1,887",6,27,61,,,,,,
331,6276103331,717,6,27,61,,,,,,
332,6276103332,"1,139",6,27,61,,,,,,
333,6276103333,692,6,27,61,,,,,,
334,4276103334,"1,441",4,27,61,,,,,,
335,4276103335,"1,697",4,27,61,,,,,,
336,4276103336,"1,616",4,27,61,,,,,,
337,4276103337,"1,473",4,27,61,,,,,,
338,6276103338,991,6,27,61,,,,,,
339,6276103339,"1,306",6,27,61,,,,,,
340,4274003340,"1,780",4,27,40,,,,,,
341,4284003341,"1,830",4,28,40,,,,,,
342,6283603342,"1,931",6,28,36,,,,,,
343,4284003343,"1,370",4,28,40,,,,,,
344,6283603344,"1,681",6,28,36,,,,,,
345,6283603345,529,6,28,36,,,,,,
346,6283603346,"1,743",6,28,36,,,,,,
347,6283603347,"1,633",6,28,36,,,,,,
348,4215603348,0,4,21,56,,,,,,
349,6283603349,0,6,28,36,,,,,,
350,4276103350,12,4,27,61,,,,,,
351,6276103351,"1,958",6,27,61,,,,,,
352,6276103352,"1,915",6,27,61,,,,,,
353,6276103353,"1,122",6,27,61,,,,,,
354,6276103354,"1,724",6,27,61,,,,,,
355,6275603355,"1,989",6,27,56,,,,,,
356,6276103356,"1,630",6,27,61,,,,,,
357,4275603357,733,4,27,56,,,,,,
358,4283603358,2,4,28,36,,,,,,
359,6283603359,0,6,28,36,,,,,,
360,6283603360,508,6,28,36,,,,,,
361,4283603361,976,4,28,36,,,,,,
362,4285603362,477,4,28,56,,,,,,
363,4215603363,"1,914",4,21,56,,,,,,
364,4215603364,"1,509",4,21,56,,,,,,
365,4215603365,"1,010",4,21,56,,,,,,
366,4275603366,475,4,27,56,,,,,,
367,6276103367,"1,655",6,27,61,,,,,,
368,4276103368,748,4,27,61,,,,,,
369,4274003369,"1,690",4,27,40,,,,,,
370,4274003370,"1,656",4,27,40,,,,,,
371,6283603371,999,6,28,36,,,,,,
372,6275603372,773,6,27,56,,,,,,
373,6275603373,"1,204",6,27,56,,,,,,
374,6283603374,"1,812",6,28,36,,,,,,
375,6276103375,"1,485",6,27,61,,,,,,
376,6276103376,"1,402",6,27,61,,,,,,
377,6276103377,"1,104",6,27,61,,,,,,
378,6276103378,"1,849",6,27,61,,,,,,
379,6276103379,"1,016",6,27,61,,,,,,
380,6276103380,"1,008",6,27,61,,,,,,
381,6283603381,"1,783",6,28,36,,,,,,
382,4276103382,589,4,27,61,,,,,,
383,6276103383,"1,282",6,27,61,,,,,,
384,6275603384,513,6,27,56,,,,,,
385,6276103385,774,6,27,61,,,,,,
386,6284003386,"1,012",6,28,40,,,,,,
387,4274003387,"1,141",4,27,40,,,,,,
388,6276103388,"1,293",6,27,61,,,,,,
389,6284003389,107,6,28,40,,,,,,
401,6260903401,"1,463",6,26,9,,,,,,
402,6320903402,0,6,32,9,,,,,,
403,6260903403,847,6,26,9,,,,,,
404,6260903404,972,6,26,9,,,,,,
405,6260903405,977,6,26,9,,,,,,
406,6260903406,613,6,26,9,,,,,,
407,6260903407,"1,471",6,26,9,,,,,,
408,6260903408,"1,917",6,26,9,,,,,,
409,6260903409,540,6,26,9,,,,,,
410,6260903410,"1,230",6,26,9,,,,,,
411,6294103411,"1,615",6,29,41,,,,,,
412,6260903412,"1,610",6,26,9,,,,,,
413,6294103413,"1,244",6,29,41,,,,,,
414,6294103414,990,6,29,41,,,,,,
415,6320903415,95,6,32,9,,,,,,
416,6294103416,"1,659",6,29,41,,,,,,
417,6294103417,"1,165",6,29,41,,,,,,
418,6294103418,932,6,29,41,,,,,,
419,6294103419,"1,125",6,29,41,,,,,,
420,6294103420,"1,751",6,29,41,,,,,,
421,6294103421,549,6,29,41,,,,,,
422,6294103422,716,6,29,41,,,,,,
423,6294103423,"1,447",6,29,41,,,,,,
424,6274003424,40,6,27,40,,,,,,
425,6294103425,"1,419",6,29,41,,,,,,
426,6294103426,758,6,29,41,,,,,,
427,6294103427,"1,549",6,29,41,,,,,,
428,6294103428,"1,109",6,29,41,,,,,,
429,6294103429,898,6,29,41,,,,,,
430,6294103430,"1,191",6,29,41,,,,,,
431,6294103431,629,6,29,41,,,,,,
432,6294103432,"1,335",6,29,41,,,,,,
433,6294103433,997,6,29,41,,,,,,
434,6294103434,"1,214",6,29,41,,,,,,
435,6294103435,"1,478",6,29,41,,,,,,
436,6294103436,"1,517",6,29,41,,,,,,
437,6294103437,"1,477",6,29,41,,,,,,
438,6294103438,"1,502",6,29,41,,,,,,
439,6294103439,"1,003",6,29,41,,,,,,
440,6294103440,851,6,29,41,,,,,,
441,6294103441,846,6,29,41,,,,,,
442,6294103442,738,6,29,41,,,,,,
443,6294103443,551,6,29,41,,,,,,
444,6294103444,679,6,29,41,,,,,,
445,6294103445,701,6,29,41,,,,,,
446,6294003446,816,6,29,40,,,,,,
447,6294003447,"1,614",6,29,40,,,,,,
448,6294003448,"1,735",6,29,40,,,,,,
449,6283603449,623,6,28,36,,,,,,
450,6274003450,"1,338",6,27,40,,,,,,
451,6274003451,"1,264",6,27,40,,,,,,
452,6274003452,"1,070",6,27,40,,,,,,
453,6274003453,573,6,27,40,,,,,,
454,6274003454,"1,119",6,27,40,,,,,,
455,6274003455,927,6,27,40,,,,,,
456,6274003456,"1,225",6,27,40,,,,,,
457,6276103457,0,6,27,61,,,,,,
458,6276103458,0,6,27,61,,,,,,
459,6274003459,924,6,27,40,,,,,,
460,6274003460,"1,143",6,27,40,,,,,,
461,6294003461,"1,325",6,29,40,,,,,,
462,6294003462,"1,215",6,29,40,,,,,,
463,6294003463,"1,477",6,29,40,,,,,,
464,6294003464,930,6,29,40,,,,,,
465,6294103465,712,6,29,41,,,,,,
466,6294103466,939,6,29,41,,,,,,
467,6294103467,963,6,29,41,,,,,,
468,6294103468,909,6,29,41,,,,,,
469,6294103469,776,6,29,41,,,,,,
470,6294103470,"1,288",6,29,41,,,,,,
471,6294103471,"1,107",6,29,41,,,,,,
472,6294103472,"1,368",6,29,41,,,,,,
473,6294103473,"1,069",6,29,41,,,,,,
474,6294103474,790,6,29,41,,,,,,
501,1320903501,"1,444",1,32,9,,,,,,
502,1320903502,"1,294",1,32,9,,,,,,
503,6284203503,"1,827",6,28,42,,,,,,
504,6284203504,"1,029",6,28,42,,,,,,
505,6284203505,"1,053",6,28,42,,,,,,
506,6284203506,"1,731",6,28,42,,,,,,
507,6284203507,937,6,28,42,,,,,,
508,6284203508,720,6,28,42,,,,,,
509,6284203509,658,6,28,42,,,,,,
510,6284203510,694,6,28,42,,,,,,
511,6284203511,"1,045",6,28,42,,,,,,
512,6284203512,"1,096",6,28,42,,,,,,
513,6284203513,"1,045",6,28,42,,,,,,
514,6294203514,896,6,29,42,,,,,,
515,6294203515,"1,026",6,29,42,,,,,,
516,6294203516,832,6,29,42,,,,,,
517,6294203517,792,6,29,42,,,,,,
518,6294203518,743,6,29,42,,,,,,
519,6294203519,878,6,29,42,,,,,,
520,6294203520,"1,015",6,29,42,,,,,,
521,6294203521,863,6,29,42,,,,,,
522,6294203522,"1,090",6,29,42,,,,,,
523,6284203523,"1,312",6,28,42,,,,,,
524,6284203524,997,6,28,42,,,,,,
525,6284203525,918,6,28,42,,,,,,
526,6284203526,895,6,28,42,,,,,,
527,6284203527,"1,172",6,28,42,,,,,,
528,6284203528,536,6,28,42,,,,,,
529,6284203529,714,6,28,42,,,,,,
530,6284203530,"1,129",6,28,42,,,,,,
531,6284203531,873,6,28,42,,,,,,
532,6284203532,998,6,28,42,,,,,,
533,6284203533,"1,433",6,28,42,,,,,,
534,6294203534,"1,076",6,29,42,,,,,,
535,6294203535,903,6,29,42,,,,,,
536,6294203536,802,6,29,42,,,,,,
537,6294103537,"1,202",6,29,41,,,,,,
538,6294103538,"1,188",6,29,41,,,,,,
539,6294103539,"1,187",6,29,41,,,,,,
540,6294203540,725,6,29,42,,,,,,
541,6294203541,762,6,29,42,,,,,,
542,6294203542,804,6,29,42,,,,,,
543,6294203543,"1,015",6,29,42,,,,,,
544,6284203544,"1,557",6,28,42,,,,,,
545,6284203545,404,6,28,42,,,,,,
546,6284203546,"1,145",6,28,42,,,,,,
547,6283603547,"1,087",6,28,36,,,,,,
548,6284203548,509,6,28,42,,,,,,
549,6283603549,558,6,28,36,,,,,,
550,6283603550,96,6,28,36,,,,,,
551,6283603551,868,6,28,36,,,,,,
552,6293603552,"1,085",6,29,36,,,,,,
553,6293603553,"1,458",6,29,36,,,,,,
554,6294103554,"1,125",6,29,41,,,,,,
555,6294103555,971,6,29,41,,,,,,
556,6283603556,"1,327",6,28,36,,,,,,
557,6283603557,"1,776",6,28,36,,,,,,
558,6294103558,"1,092",6,29,41,,,,,,
559,6294103559,885,6,29,41,,,,,,
560,6294103560,532,6,29,41,,,,,,