Primary Captain District,Precinct,Voters,Nearest VSPC,Distance to Nearest VSPC (mi.),Assigned VSPC,Distance to Assigned VSPC (mi.),Distance Difference (mi.),Reassigned,Voters Assigned,Precincts Assigned,Address,City,State,Zip,Precinct Map URL
23,438,1335,Heather Gardens,0.87,Heather Gardens,0.87,0.0,False,21123,22,2888 S Heather Gardens Way,Aurora,CO,80014,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_438.pdf
22,439,986,Heather Gardens,0.98,Heather Gardens,0.98,0.0,False,21123,22,2888 S Heather Gardens Way,Aurora,CO,80014,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_439.pdf
23,440,817,Heather Gardens,0.42,Heather Gardens,0.42,0.0,False,21123,22,2888 S Heather Gardens Way,Aurora,CO,80014,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_440.pdf
23,441,788,Heather Gardens,0.23,Heather Gardens,0.23,0.0,False,21123,22,2888 S Heather Gardens Way,Aurora,CO,80014,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_441.pdf
23,442,762,Heather Gardens,0.22,Heather Gardens,0.22,0.0,False,21123,22,2888 S Heather Gardens Way,Aurora,CO,80014,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_442.pdf
23,443,521,Heather Gardens,0.25,Heather Gardens,0.25,0.0,False,21123,22,2888 S Heather Gardens Way,Aurora,CO,80014,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_443.pdf
24,444,681,Heather Gardens,0.66,Heather Gardens,0.66,0.0,False,21123,22,2888 S Heather Gardens Way,Aurora,CO,80014,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_444.pdf
24,445,682,Mission Viejo Library,0.47,Mission Viejo Library,0.47,0.0,False,21193,19,15324 E Hampden Cir,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_445.pdf
25,446,829,Mission Viejo Library,0.72,Mission Viejo Library,0.72,0.0,False,21193,19,15324 E Hampden Cir,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_446.pdf
25,447,1605,Mission Viejo Library,0.43,Mission Viejo Library,0.43,0.0,False,21193,19,15324 E Hampden Cir,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_447.pdf
25,448,1567,Mission Viejo Library,1.06,Mission Viejo Library,1.06,0.0,False,21193,19,15324 E Hampden Cir,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_448.pdf
28,449,1141,Mission Viejo Library,1.26,Mission Viejo Library,1.26,0.0,False,21193,19,15324 E Hampden Cir,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_449.pdf
28,450,1123,Mission Viejo Library,1.73,Mission Viejo Library,1.73,0.0,False,21193,19,15324 E Hampden Cir,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_450.pdf
24,451,673,Central Recreation Center,1.07,Central Recreation Center,1.07,0.0,False,15868,19,18150 E Vassar Pl,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_451.pdf
25,452,1870,Central Recreation Center,0.35,Mission Viejo Library,2.01,1.65,True,21193,19,15324 E Hampden Cir,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_452.pdf
26,453,933,Central Recreation Center,0.76,Central Recreation Center,0.76,0.0,False,15868,19,18150 E Vassar Pl,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_453.pdf
26,454,910,Central Recreation Center,0.51,Central Recreation Center,0.51,0.0,False,15868,19,18150 E Vassar Pl,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_454.pdf
26,455,1291,Central Recreation Center,0.62,Parkside Village Retirement Resort,3.53,2.92,True,19166,17,14501 E Crestline Dr,Aurora,CO,80015,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_455.pdf
26,456,857,Central Recreation Center,1.09,Central Recreation Center,1.09,0.0,False,15868,19,18150 E Vassar Pl,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_456.pdf
26,457,635,Central Recreation Center,0.98,Central Recreation Center,0.98,0.0,False,15868,19,18150 E Vassar Pl,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_457.pdf
26,458,1201,Mission Viejo Library,1.14,Mission Viejo Library,1.14,0.0,False,21193,19,15324 E Hampden Cir,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_458.pdf
26,459,1327,Central Recreation Center,1.4,Smoky Hill Library,2.18,0.78,True,20838,18,5430 S Biscay Cir,Centennial,CO,80015,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_459.pdf
19,460,1177,City of Glendale Municipal Building,0.47,City of Glendale Municipal Building,0.47,0.0,False,2150,2,950 S. Birch Street,Glendale,CO,80246,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_460.pdf
26,461,1306,Mission Viejo Library,0.83,Mission Viejo Library,0.83,0.0,False,21193,19,15324 E Hampden Cir,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_461.pdf
26,462,1235,Mission Viejo Library,0.32,Mission Viejo Library,0.32,0.0,False,21193,19,15324 E Hampden Cir,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_462.pdf
26,463,1439,Mission Viejo Library,0.72,Mission Viejo Library,0.72,0.0,False,21193,19,15324 E Hampden Cir,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_463.pdf
26,464,911,Mission Viejo Library,0.58,Mission Viejo Library,0.58,0.0,False,21193,19,15324 E Hampden Cir,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_464.pdf
24,465,690,Mission Viejo Library,0.79,Mission Viejo Library,0.79,0.0,False,21193,19,15324 E Hampden Cir,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_465.pdf
24,466,973,Mission Viejo Library,0.41,Mission Viejo Library,0.41,0.0,False,21193,19,15324 E Hampden Cir,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_466.pdf
24,467,970,Mission Viejo Library,0.84,Mission Viejo Library,0.84,0.0,False,21193,19,15324 E Hampden Cir,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_467.pdf
24,468,930,Mission Viejo Library,1.11,Mission Viejo Library,1.11,0.0,False,21193,19,15324 E Hampden Cir,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_468.pdf
24,469,728,Mission Viejo Library,1.42,Mission Viejo Library,1.42,0.0,False,21193,19,15324 E Hampden Cir,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_469.pdf
24,470,1190,Heather Gardens,1.67,Heather Gardens,1.67,0.0,False,21123,22,2888 S Heather Gardens Way,Aurora,CO,80014,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_470.pdf
24,471,1154,Central Recreation Center,1.34,Arapahoe County CentrePoint Plaza,2.34,1.0,True,9582,10,14980 E Alameda Dr,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_471.pdf
24,472,1085,Central Recreation Center,0.86,Arapahoe County CentrePoint Plaza,2.63,1.77,True,9582,10,14980 E Alameda Dr,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_472.pdf
24,473,1098,Central Recreation Center,0.71,Arapahoe County CentrePoint Plaza,2.87,2.16,True,9582,10,14980 E Alameda Dr,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_473.pdf
19,474,973,City of Glendale Municipal Building,0.09,City of Glendale Municipal Building,0.09,0.0,False,2150,2,950 S. Birch Street,Glendale,CO,80246,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_474.pdf
18,501,787,Murphy Creek Golf Course,0.92,Murphy Creek Golf Course,0.92,0.0,False,14073,9,1700 S. Old Tom Morris Rd.,Aurora,CO,80018,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_501.pdf
18,502,2985,Vista PEAK,1.07,Vista PEAK,1.07,0.0,False,9026,6,24500 E. 6th Ave,Aurora,CO,80018,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_502.pdf
13,503,1995,"Martin Luther King, Jr. Library",0.26,"Martin Luther King, Jr. Library",0.26,0.0,False,1995,1,9898 E. Colfax Ave,Aurora,CO,80010,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_503.pdf
13,504,1028,Community College of Aurora Lowry Campus,0.36,Community College of Aurora Lowry Campus,0.36,0.0,False,2083,2,710 Alton Way,Denver,CO,80230,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_504.pdf
14,505,1055,Community College of Aurora Lowry Campus,0.75,Community College of Aurora Lowry Campus,0.75,0.0,False,2083,2,710 Alton Way,Denver,CO,80230,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_505.pdf
13,506,1730,Aurora Public Schools Educational Service Center 4,0.5,Aurora Public Schools Educational Service Center 4,0.5,0.0,False,6195,6,1085 Peoria St,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_506.pdf
13,507,1009,Aurora Center for Active Adults,0.73,Aurora Center for Active Adults,0.73,0.0,False,8836,10,30 Del Mar Cir,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_507.pdf
13,508,776,Aurora Center for Active Adults,0.33,Aurora Center for Active Adults,0.33,0.0,False,8836,10,30 Del Mar Cir,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_508.pdf
14,509,662,Aurora Center for Active Adults,0.66,Aurora Center for Active Adults,0.66,0.0,False,8836,10,30 Del Mar Cir,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_509.pdf
14,510,686,Aurora Center for Active Adults,0.26,Aurora Center for Active Adults,0.26,0.0,False,8836,10,30 Del Mar Cir,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_510.pdf
14,511,989,Aurora Center for Active Adults,1.0,Aurora Center for Active Adults,1.0,0.0,False,8836,10,30 Del Mar Cir,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_511.pdf
14,512,956,Aurora Center for Active Adults,0.55,Aurora Center for Active Adults,0.55,0.0,False,8836,10,30 Del Mar Cir,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_512.pdf
14,513,931,Aurora Center for Active Adults,0.89,Aurora Center for Active Adults,0.89,0.0,False,8836,10,30 Del Mar Cir,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_513.pdf
14,514,628,Aurora Center for Active Adults,1.35,Aurora Center for Active Adults,1.35,0.0,False,8836,10,30 Del Mar Cir,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_514.pdf
14,515,1100,The Avenue Church,1.07,The Avenue Church,1.07,0.0,False,18737,18,13231 E Mississippi Ave,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_515.pdf
14,516,798,The Avenue Church,1.41,The Avenue Church,1.41,0.0,False,18737,18,13231 E Mississippi Ave,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_516.pdf
14,517,829,The Avenue Church,1.25,The Avenue Church,1.25,0.0,False,18737,18,13231 E Mississippi Ave,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_517.pdf
14,518,680,The Avenue Church,0.77,The Avenue Church,0.77,0.0,False,18737,18,13231 E Mississippi Ave,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_518.pdf
15,519,744,The Avenue Church,0.48,The Avenue Church,0.48,0.0,False,18737,18,13231 E Mississippi Ave,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_519.pdf
15,520,993,The Avenue Church,0.44,The Avenue Church,0.44,0.0,False,18737,18,13231 E Mississippi Ave,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_520.pdf
15,521,897,The Avenue Church,0.47,The Avenue Church,0.47,0.0,False,18737,18,13231 E Mississippi Ave,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_521.pdf
15,522,1076,The Avenue Church,0.77,The Avenue Church,0.77,0.0,False,18737,18,13231 E Mississippi Ave,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_522.pdf
15,523,1308,Aurora Center for Active Adults,0.86,Aurora Center for Active Adults,0.86,0.0,False,8836,10,30 Del Mar Cir,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_523.pdf
15,524,891,Aurora Center for Active Adults,0.72,Aurora Center for Active Adults,0.72,0.0,False,8836,10,30 Del Mar Cir,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_524.pdf
13,525,925,Aurora Public Schools Educational Service Center 4,0.34,Aurora Public Schools Educational Service Center 4,0.34,0.0,False,6195,6,1085 Peoria St,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_525.pdf
13,526,880,Aurora Public Schools Educational Service Center 4,0.6,Aurora Public Schools Educational Service Center 4,0.6,0.0,False,6195,6,1085 Peoria St,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_526.pdf
13,527,1180,Aurora Public Schools Educational Service Center 4,1.0,Aurora Public Schools Educational Service Center 4,1.0,0.0,False,6195,6,1085 Peoria St,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_527.pdf
13,528,627,Aurora Public Schools Educational Service Center 4,0.43,Aurora Public Schools Educational Service Center 4,0.43,0.0,False,6195,6,1085 Peoria St,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_528.pdf
13,529,853,Aurora Public Schools Educational Service Center 4,0.85,Aurora Public Schools Educational Service Center 4,0.85,0.0,False,6195,6,1085 Peoria St,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_529.pdf
,530,1151,Aurora Public Schools Professional Learning & Conference Center,1.18,Aurora Public Schools Professional Learning & Conference Center,1.18,0.0,False,3651,4,15771 E 1st Ave,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_530.pdf
,531,973,Aurora Public Schools Professional Learning & Conference Center,1.03,Aurora Public Schools Professional Learning & Conference Center,1.03,0.0,False,3651,4,15771 E 1st Ave,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_531.pdf
15,532,955,City of Aurora Municipal Center,0.77,City of Aurora Municipal Center,0.77,0.0,False,6133,6,15151 E Alameda Pkwy,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_532.pdf
15,533,1516,City of Aurora Municipal Center,0.48,City of Aurora Municipal Center,0.48,0.0,False,6133,6,15151 E Alameda Pkwy,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_533.pdf
15,534,822,Arapahoe County CentrePoint Plaza,0.61,Arapahoe County CentrePoint Plaza,0.61,0.0,False,9582,10,14980 E Alameda Dr,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_534.pdf
15,535,901,Arapahoe County CentrePoint Plaza,0.32,Arapahoe County CentrePoint Plaza,0.32,0.0,False,9582,10,14980 E Alameda Dr,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_535.pdf
15,536,638,Arapahoe County CentrePoint Plaza,0.71,Arapahoe County CentrePoint Plaza,0.71,0.0,False,9582,10,14980 E Alameda Dr,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_536.pdf
22,537,1135,Arapahoe County CentrePoint Plaza,1.3,Arapahoe County CentrePoint Plaza,1.3,0.0,False,9582,10,14980 E Alameda Dr,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_537.pdf
22,538,1203,Arapahoe County CentrePoint Plaza,1.45,Arapahoe County CentrePoint Plaza,1.45,0.0,False,9582,10,14980 E Alameda Dr,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_538.pdf
22,539,1071,Arapahoe County CentrePoint Plaza,1.58,Arapahoe County CentrePoint Plaza,1.58,0.0,False,9582,10,14980 E Alameda Dr,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_539.pdf
16,540,754,City of Aurora Municipal Center,1.18,City of Aurora Municipal Center,1.18,0.0,False,6133,6,15151 E Alameda Pkwy,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_540.pdf
16,541,759,City of Aurora Municipal Center,0.73,City of Aurora Municipal Center,0.73,0.0,False,6133,6,15151 E Alameda Pkwy,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_541.pdf
16,542,475,Arapahoe County CentrePoint Plaza,0.56,Arapahoe County CentrePoint Plaza,0.56,0.0,False,9582,10,14980 E Alameda Dr,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_542.pdf
16,543,1008,City of Aurora Municipal Center,0.97,City of Aurora Municipal Center,0.97,0.0,False,6133,6,15151 E Alameda Pkwy,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_543.pdf
16,544,1403,Community College of Aurora CentreTech Campus,0.6,Community College of Aurora CentreTech Campus,0.6,0.0,False,4215,4,16000 E CentreTech Pkwy,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_544.pdf
16,545,322,Community College of Aurora CentreTech Campus,0.11,Community College of Aurora CentreTech Campus,0.11,0.0,False,4215,4,16000 E CentreTech Pkwy,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_545.pdf
16,546,1065,Aurora Public Schools Professional Learning & Conference Center,0.74,Aurora Public Schools Professional Learning & Conference Center,0.74,0.0,False,3651,4,15771 E 1st Ave,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_546.pdf
17,547,1164,Pickens Technical College,0.51,Pickens Technical College,0.51,0.0,False,3251,3,500 Airport Blvd Bldg E,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_547.pdf
16,548,462,Aurora Public Schools Professional Learning & Conference Center,1.24,Aurora Public Schools Professional Learning & Conference Center,1.24,0.0,False,3651,4,15771 E 1st Ave,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_548.pdf
17,549,538,Pickens Technical College,0.95,Pickens Technical College,0.95,0.0,False,3251,3,500 Airport Blvd Bldg E,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_549.pdf
17,550,83,Beck Recreation Center,0.84,Beck Recreation Center,0.84,0.0,False,1001,2,800 Telluride St,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_550.pdf
17,551,918,Beck Recreation Center,1.94,Beck Recreation Center,1.94,0.0,False,1001,2,800 Telluride St,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_551.pdf
17,552,1079,Community College of Aurora CentreTech Campus,1.39,Community College of Aurora CentreTech Campus,1.39,0.0,False,4215,4,16000 E CentreTech Pkwy,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_552.pdf
17,553,1411,Community College of Aurora CentreTech Campus,1.75,Community College of Aurora CentreTech Campus,1.75,0.0,False,4215,4,16000 E CentreTech Pkwy,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_553.pdf
22,554,1141,Central Recreation Center,1.81,City of Aurora Municipal Center,1.88,0.07,True,6133,6,15151 E Alameda Pkwy,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_554.pdf
22,555,1020,Central Recreation Center,1.6,Central Recreation Center,1.6,0.0,False,15868,19,18150 E Vassar Pl,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_555.pdf
17,556,1549,Central Recreation Center,1.35,Pickens Technical College,2.74,1.39,True,3251,3,500 Airport Blvd Bldg E,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_556.pdf
17,557,1804,Central Recreation Center,1.67,Murphy Creek Golf Course,2.81,1.15,True,14073,9,1700 S. Old Tom Morris Rd.,Aurora,CO,80018,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_557.pdf
22,558,1073,Central Recreation Center,1.51,Central Recreation Center,1.51,0.0,False,15868,19,18150 E Vassar Pl,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_558.pdf
22,559,880,Central Recreation Center,1.21,Central Recreation Center,1.21,0.0,False,15868,19,18150 E Vassar Pl,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_559.pdf
22,560,508,Central Recreation Center,1.21,Central Recreation Center,1.21,0.0,False,15868,19,18150 E Vassar Pl,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_560.pdf
18,561,1886,Vista PEAK,0.56,Vista PEAK,0.56,0.0,False,9026,6,24500 E. 6th Ave,Aurora,CO,80018,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_561.pdf
,562,1998,Murphy Creek Golf Course,0.48,Murphy Creek Golf Course,0.48,0.0,False,14073,9,1700 S. Old Tom Morris Rd.,Aurora,CO,80018,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_562.pdf
18,563,1924,Vista PEAK,0.62,Vista PEAK,0.62,0.0,False,9026,6,24500 E. 6th Ave,Aurora,CO,80018,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_563.pdf
22,564,792,Central Recreation Center,1.72,Central Recreation Center,1.72,0.0,False,15868,19,18150 E Vassar Pl,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_564.pdf
